DATE,OPEN,HIGH,LOW,CLOSE,VOLUME BTC,VOLUME USDT
1/30/2019,3411.04,3478,3387.1,3458.18,22692.88,78125806.13
1/29/2019,3434.15,3443.45,3349.92,3411.04,27562.68,93813988.41
1/28/2019,3550.84,3557.75,3381.5,3434.15,37359.71,128787569.3
1/27/2019,3565.25,3579,3486,3550.84,20433.19,72613676.69
1/26/2019,3565.29,3662.94,3545,3565.25,17673.42,63344444.71
1/25/2019,3569.62,3587.15,3522.51,3565.29,16546.4,58864938.78
1/24/2019,3552.82,3589,3529.22,3569.62,19692.71,70006296.01
1/23/2019,3570.93,3607.98,3514.5,3552.82,23071.74,82165371.55
1/22/2019,3526.9,3608.5,3446.69,3570.93,25231.55,89395437.4
1/21/2019,3539.28,3559.51,3485.04,3526.9,18434.38,65059626.45
1/20/2019,3665.3,3693.73,3475,3539.28,23551.29,84251226.23
1/19/2019,3594.87,3720,3594.23,3665.3,18624.79,68293032.66
1/18/2019,3616.21,3619.99,3565.75,3594.87,21672.42,77956595.66
1/17/2019,3591.84,3634.7,3533.44,3616.21,27614.97,99041752.72
1/16/2019,3553.06,3645,3543.51,3591.84,25757.79,92324270.78
1/15/2019,3626.09,3648.42,3518.44,3553.06,30770.45,110721208.2
1/14/2019,3476.81,3671.87,3467.02,3626.09,31190.38,111116129.2
1/13/2019,3583.13,3611.1,3444.28,3476.81,22754.41,80130875.79
1/12/2019,3601.31,3618.19,3531.06,3583.13,20541.52,73689073.67
1/11/2019,3585.88,3658,3526.98,3601.31,34260.22,123044676.4
1/10/2019,3966.65,3996.01,3540,3585.88,47895.41,178756130.9
1/9/2019,3955.13,4006.81,3930.04,3966.65,27503.63,109315054.9
1/8/2019,3975.45,4067.66,3922,3955.13,34365.46,136737939.1
1/7/2019,3987.6,4017.9,3921.53,3975.45,29452.09,117221283.7
1/6/2019,3770.96,4027.71,3740,3987.6,32566.9,126593889.7
1/5/2019,3792.01,3840.99,3751,3770.96,28675.53,108993305.9
1/4/2019,3766.78,3823.64,3703.57,3792.01,27721.3,104281819
1/3/2019,3858.56,3862.74,3730,3766.78,27461.97,104293179.8
1/2/2019,3797.14,3882.14,3750.45,3858.56,33035.13,125781952.9
1/1/2019,3702.9,3810.16,3642,3797.14,22043.98,81818002.59
12/31/2018,3801.91,3810,3637.78,3702.9,27000,100763786.7
12/30/2018,3695.32,3903.5,3657.9,3801.91,30282.17,113873648.5
12/29/2018,3839.26,3892,3670,3695.32,34488.38,131634641.8
12/28/2018,3567.91,3887.25,3540.04,3839.26,40839.17,151406617
12/27/2018,3777.74,3813.98,3535,3567.91,40266.32,147943217.9
12/26/2018,3745.79,3837.15,3656.74,3777.74,39961.75,149732459.7
12/25/2018,4008.01,4020,3646.41,3745.79,56383.4,211665332.9
12/24/2018,3929.71,4198,3924.83,4008.01,58403.15,239128837.6
12/23/2018,3948.91,4021.53,3870,3929.71,37881.01,149909406.6
12/22/2018,3838.66,3979,3785,3948.91,40231.99,155073329.6
12/21/2018,4049.62,4139.99,3764,3838.66,75158.54,297414584.8
12/20/2018,3662.22,4120,3635,4049.62,89802.98,353522264.5
12/19/2018,3652.98,3912.73,3622.55,3662.22,85810.88,321352553.6
12/18/2018,3509.08,3678.59,3424.47,3652.98,56798.2,200359773.2
12/17/2018,3228.67,3585,3216,3509.08,59026.9,202235081.9
12/16/2018,3211.72,3294,3186,3228.67,23376.74,76001723.18
12/15/2018,3224.17,3276.5,3156.26,3211.72,28287.18,90753503.7
12/14/2018,3302.06,3335,3177,3224.17,40946.18,133564459.4
12/13/2018,3445,3460,3255.5,3302.06,37471.7,126209442.5
12/12/2018,3380.39,3492,3350,3445,31471.86,107823027.7
